지표명,구분유형,sex,agegroup,값,단위,se,n,출처,대상,기간
우울장애유병률,성별×연령대,2.0,30-39,5.3,%,,12156.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,2.0,40-49,3.8,%,,16396.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,2.0,50-59,3.5,%,,22790.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,2.0,60-69,3.4,%,,28453.0,CHS 2025,전국민,2025
우울장애유병률,성별×연령대,2.0,70+,7.3,%,,35011.0,CHS 2025,전국민,2025
주중평균수면시간,전체,,,6.2,시간,,157288.0,CHS 2025,전국민,2025
주중평균수면시간,성별,1.0,,6.25,시간,,71530.0,CHS 2025,전국민,2025
주중평균수면시간,성별,2.0,,6.14,시간,,85758.0,CHS 2025,전국민,2025
주중평균수면시간,연령대,,19-29,6.55,시간,,11711.0,CHS 2025,전국민,2025
주중평균수면시간,연령대,,30-39,6.36,시간,,14914.0,CHS 2025,전국민,2025
주중평균수면시간,연령대,,40-49,6.21,시간,,20176.0,CHS 2025,전국민,2025
주중평균수면시간,연령대,,50-59,6.05,시간,,28954.0,CHS 2025,전국민,2025
주중평균수면시간,연령대,,60-69,6.06,시간,,37475.0,CHS 2025,전국민,2025
주중평균수면시간,연령대,,70+,6.1,시간,,44058.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,1.0,19-29,6.55,시간,,5732.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,1.0,30-39,6.23,시간,,7517.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,1.0,40-49,6.12,시간,,9922.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,1.0,50-59,6.09,시간,,13471.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,1.0,60-69,6.21,시간,,17227.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,1.0,70+,6.42,시간,,17661.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,2.0,19-29,6.55,시간,,5979.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,2.0,30-39,6.51,시간,,7397.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,2.0,40-49,6.3,시간,,10254.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,2.0,50-59,6.01,시간,,15483.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,2.0,60-69,5.93,시간,,20248.0,CHS 2025,전국민,2025
주중평균수면시간,성별×연령대,2.0,70+,5.86,시간,,26397.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,전체,,,12.5,%,,231597.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별,1.0,,9.2,%,,106776.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별,2.0,,15.7,%,,124821.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,연령대,,19-29,9.8,%,,19525.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,연령대,,30-39,10.4,%,,24228.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,연령대,,40-49,10.8,%,,31382.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,연령대,,50-59,11.2,%,,42641.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,연령대,,60-69,13.1,%,,53392.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,연령대,,70+,19.6,%,,60429.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,1.0,19-29,7.1,%,,9695.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,1.0,30-39,7.3,%,,12063.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,1.0,40-49,8.0,%,,14971.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,1.0,50-59,8.8,%,,19837.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,1.0,60-69,10.3,%,,24916.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,1.0,70+,14.6,%,,25294.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,2.0,19-29,12.6,%,,9830.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,2.0,30-39,13.9,%,,12165.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,2.0,40-49,13.7,%,,16411.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,2.0,50-59,13.7,%,,22804.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,2.0,60-69,15.7,%,,28476.0,CHS 2025,전국민,2025
EQ5D_불안우울문제,성별×연령대,2.0,70+,23.7,%,,35135.0,CHS 2025,전국민,2025
EQ5D_통증문제,전체,,,27.3,%,,231613.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별,1.0,,22.5,%,,106779.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별,2.0,,32.1,%,,124834.0,CHS 2025,전국민,2025
EQ5D_통증문제,연령대,,19-29,10.4,%,,19525.0,CHS 2025,전국민,2025
EQ5D_통증문제,연령대,,30-39,15.3,%,,24228.0,CHS 2025,전국민,2025
EQ5D_통증문제,연령대,,40-49,21.2,%,,31383.0,CHS 2025,전국민,2025
EQ5D_통증문제,연령대,,50-59,27.4,%,,42645.0,CHS 2025,전국민,2025
EQ5D_통증문제,연령대,,60-69,34.3,%,,53396.0,CHS 2025,전국민,2025
EQ5D_통증문제,연령대,,70+,52.9,%,,60436.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,1.0,19-29,10.5,%,,9695.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,1.0,30-39,13.7,%,,12063.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,1.0,40-49,19.8,%,,14971.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,1.0,50-59,23.0,%,,19838.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,1.0,60-69,27.9,%,,24917.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,1.0,70+,41.2,%,,25295.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,2.0,19-29,10.3,%,,9830.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,2.0,30-39,17.0,%,,12165.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,2.0,40-49,22.6,%,,16412.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,2.0,50-59,31.9,%,,22807.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,2.0,60-69,40.0,%,,28479.0,CHS 2025,전국민,2025
EQ5D_통증문제,성별×연령대,2.0,70+,62.2,%,,35141.0,CHS 2025,전국민,2025
업무스트레스,전체,,,33.0,%,0.0028345392067658,50045.0,KWCS 7차,취업자,2023
업무스트레스,성별,1.0,,34.1,%,0.0039762493216386,23614.0,KWCS 7차,취업자,2023
업무스트레스,성별,2.0,,31.7,%,0.0039878068450713,26431.0,KWCS 7차,취업자,2023
업무스트레스,연령대,,19-29,31.4,%,0.0097677389507726,3557.0,KWCS 7차,취업자,2023
업무스트레스,연령대,,30-39,37.0,%,0.006884903390301,7463.0,KWCS 7차,취업자,2023
업무스트레스,연령대,,40-49,36.2,%,0.0063867252191009,9062.0,KWCS 7차,취업자,2023
업무스트레스,연령대,,50-59,34.5,%,0.005461763907408,13272.0,KWCS 7차,취업자,2023
업무스트레스,연령대,,60-69,29.9,%,0.0057491965016521,11065.0,KWCS 7차,취업자,2023
업무스트레스,연령대,,70+,18.9,%,0.0069884293530275,5626.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,1.0,19-29,29.8,%,,1617.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,1.0,30-39,37.2,%,0.0095951947736367,3760.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,1.0,40-49,37.3,%,0.0088398256159305,4553.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,1.0,50-59,35.9,%,0.0077688183579071,5900.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,1.0,60-69,31.4,%,0.0080702072506002,5339.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,1.0,70+,21.7,%,0.0109484428639099,2445.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,2.0,19-29,32.8,%,,1940.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,2.0,30-39,36.7,%,0.0095966860738599,3703.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,2.0,40-49,34.6,%,0.0090344969187987,4509.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,2.0,50-59,32.6,%,0.0074587813267147,7372.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,2.0,60-69,27.8,%,0.0078407137657385,5726.0,KWCS 7차,취업자,2023
업무스트레스,성별×연령대,2.0,70+,16.1,%,0.0086521051202726,3181.0,KWCS 7차,취업자,2023
불안감유병,전체,,,3.6,%,0.00108394013713,50089.0,KWCS 7차,취업자,2023
불안감유병,성별,1.0,,3.4,%,0.0014878671849191,23619.0,KWCS 7차,취업자,2023
불안감유병,성별,2.0,,3.9,%,0.0015753551444368,26470.0,KWCS 7차,취업자,2023
불안감유병,연령대,,19-29,2.5,%,0.0033460216569298,3554.0,KWCS 7차,취업자,2023
불안감유병,연령대,,30-39,3.5,%,0.002686607522171,7461.0,KWCS 7차,취업자,2023
불안감유병,연령대,,40-49,3.1,%,0.00223816196636,9067.0,KWCS 7차,취업자,2023
불안감유병,연령대,,50-59,4.0,%,0.0022504536029554,13277.0,KWCS 7차,취업자,2023
불안감유병,연령대,,60-69,4.1,%,0.0024432638539901,11078.0,KWCS 7차,취업자,2023
불안감유병,연령대,,70+,5.2,%,0.0033861401117583,5652.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,1.0,19-29,2.0,%,,1617.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,1.0,30-39,3.2,%,0.003674349096695,3755.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,1.0,40-49,3.4,%,0.0032514766923828,4554.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,1.0,50-59,3.6,%,0.0030142316816706,5903.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,1.0,60-69,4.1,%,0.0034522132524151,5341.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,1.0,70+,4.1,%,0.0046953202652431,2449.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,2.0,19-29,2.9,%,,1937.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,2.0,30-39,4.0,%,0.0038856664185593,3706.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,2.0,40-49,2.8,%,0.002844963902713,4513.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,2.0,50-59,4.5,%,0.0033752860534844,7374.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,2.0,60-69,4.1,%,0.003309323605531,5737.0,KWCS 7차,취업자,2023
불안감유병,성별×연령대,2.0,70+,6.4,%,0.0048806252229244,3203.0,KWCS 7차,취업자,2023
우울함유병,전체,,,2.3,%,0.0008519713173636,50082.0,KWCS 7차,취업자,2023
우울함유병,성별,1.0,,1.8,%,0.0010429899517504,23616.0,KWCS 7차,취업자,2023
우울함유병,성별,2.0,,3.0,%,0.0014059656125073,26466.0,KWCS 7차,취업자,2023
우울함유병,연령대,,19-29,2.1,%,0.0031174335051963,3556.0,KWCS 7차,취업자,2023
우울함유병,연령대,,30-39,1.4,%,0.0015107383570028,7458.0,KWCS 7차,취업자,2023
우울함유병,연령대,,40-49,1.9,%,0.0016898197747143,9065.0,KWCS 7차,취업자,2023
우울함유병,연령대,,50-59,2.6,%,0.0017702734818474,13278.0,KWCS 7차,취업자,2023
우울함유병,연령대,,60-69,2.8,%,0.0020027296737195,11076.0,KWCS 7차,취업자,2023
우울함유병,연령대,,70+,4.7,%,0.0035309432528771,5649.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,1.0,19-29,1.0,%,,1619.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,1.0,30-39,0.9,%,0.0015451489758525,3754.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,1.0,40-49,1.8,%,0.0024118509980137,4551.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,1.0,50-59,2.2,%,0.0024658563883728,5905.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,1.0,60-69,2.3,%,0.0026040484901668,5340.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,1.0,70+,3.3,%,0.0041215652911111,2447.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,2.0,19-29,3.0,%,,1937.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,2.0,30-39,2.2,%,0.0029091531723471,3704.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,2.0,40-49,2.0,%,0.0022499013480518,4514.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,2.0,50-59,3.1,%,0.0025089457814727,7373.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,2.0,60-69,3.5,%,0.0031303459986361,5736.0,KWCS 7차,취업자,2023
우울함유병,성별×연령대,2.0,70+,6.2,%,0.0056776705206359,3202.0,KWCS 7차,취업자,2023
수면장애,전체,,,8.3,%,0.0016016010670202,50151.0,KWCS 7차,취업자,2023
수면장애,성별,1.0,,8.0,%,0.0022626975692141,23654.0,KWCS 7차,취업자,2023
수면장애,성별,2.0,,8.6,%,0.0022201511696323,26497.0,KWCS 7차,취업자,2023
수면장애,연령대,,19-29,4.5,%,0.0040976478007986,3563.0,KWCS 7차,취업자,2023
수면장애,연령대,,30-39,7.2,%,0.0038654132667223,7472.0,KWCS 7차,취업자,2023
수면장애,연령대,,40-49,7.7,%,0.0035547627167339,9076.0,KWCS 7차,취업자,2023
수면장애,연령대,,50-59,8.7,%,0.0032846492642065,13294.0,KWCS 7차,취업자,2023
수면장애,연령대,,60-69,9.8,%,0.003738697003387,11088.0,KWCS 7차,취업자,2023
수면장애,연령대,,70+,15.1,%,0.005899551682354,5658.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,1.0,19-29,4.2,%,,1621.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,1.0,30-39,7.1,%,0.0055222843739389,3764.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,1.0,40-49,8.0,%,0.0050750092827826,4559.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,1.0,50-59,8.6,%,0.0046587325109313,5913.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,1.0,60-69,9.2,%,0.0050807439049592,5345.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,1.0,70+,12.5,%,0.0082422742870242,2452.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,2.0,19-29,4.8,%,,1942.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,2.0,30-39,7.3,%,0.0050869789906267,3708.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,2.0,40-49,7.3,%,0.0046937320492283,4517.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,2.0,50-59,8.9,%,0.0045031885399211,7381.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,2.0,60-69,10.6,%,0.0054374712824727,5743.0,KWCS 7차,취업자,2023
수면장애,성별×연령대,2.0,70+,17.7,%,0.0084055280841652,3206.0,KWCS 7차,취업자,2023
