지표명,구분유형,sex,agegroup,값,단위,se,n,출처,대상,기간
주중평균수면시간,성별×연령대,1.0,30-39,6.77,시간,0.0418520121956606,884.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,40-49,6.74,시간,0.0381828001444573,1152.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,50-59,6.77,시간,0.0340520805051211,1285.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,60-69,6.88,시간,0.0372236930920684,1568.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,1.0,70+,7.11,시간,0.0474375282552068,1447.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,19-29,7.11,시간,0.0543887909534396,1038.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,30-39,7.01,시간,0.0452200535221664,1081.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,40-49,6.94,시간,0.0373949704494742,1586.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,50-59,6.77,시간,0.0326699206831731,1824.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,60-69,6.72,시간,0.0358344408396663,2065.0,KNHANES 제9기,전국민,2022+2023+2024
주중평균수면시간,성별×연령대,2.0,70+,6.67,시간,0.0467671647056622,1845.0,KNHANES 제9기,전국민,2022+2023+2024
EQ5D_불안우울문제,전체,,,21.7,%,0.004581708254648,10919.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별,1.0,,15.9,%,0.0061225009901796,4710.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별,2.0,,27.4,%,0.0069319138512318,6209.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,연령대,,19-29,23.6,%,0.0135637068153979,1308.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,연령대,,30-39,20.6,%,0.0125092306098908,1294.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,연령대,,40-49,22.2,%,0.01020055033978,1772.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,연령대,,50-59,22.3,%,0.01087031725853,2013.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,연령대,,60-69,20.7,%,0.0099716509441045,2325.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,연령대,,70+,20.1,%,0.0102281279646168,2207.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,19-29,16.6,%,0.0170451853194702,593.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,30-39,14.6,%,,582.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,40-49,16.7,%,0.0134252989805164,733.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,50-59,18.1,%,0.0149838473831625,847.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,60-69,15.0,%,0.0135825014505742,998.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,1.0,70+,13.1,%,0.0118767972396082,957.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,19-29,31.4,%,,715.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,30-39,27.3,%,,712.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,40-49,27.9,%,0.0156680303270727,1039.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,50-59,26.6,%,0.0147792318231533,1166.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,60-69,26.1,%,0.0128007155663946,1327.0,KNHANES 제9기,전국민,2022+2024
EQ5D_불안우울문제,성별×연령대,2.0,70+,25.2,%,0.0141871212013926,1250.0,KNHANES 제9기,전국민,2022+2024
EQ5D_통증문제,전체,,,38.0,%,0.005399904540492,10917.0,KNHANES 제9기,전국민,2022+2024
