지표명,구분유형,sex,agegroup,KNHANES_값,단위,KNHANES_n,CHS_값,CHS_n,차이(KNHANES-CHS)
우울장애유병률,성별×연령대,1.0,40-49,3.9,%,675.0,2.8,14958.0,1.1
우울장애유병률,성별×연령대,1.0,50-59,3.2,%,764.0,2.3,19817.0,0.9
우울장애유병률,성별×연령대,1.0,60-69,2.9,%,953.0,2.5,24901.0,0.4
우울장애유병률,성별×연령대,1.0,70+,1.5,%,917.0,4.1,25248.0,-2.6
우울장애유병률,성별×연령대,2.0,19-29,8.3,%,683.0,4.8,9822.0,3.5
우울장애유병률,성별×연령대,2.0,30-39,8.2,%,661.0,5.3,12156.0,2.9
우울장애유병률,성별×연령대,2.0,40-49,5.0,%,976.0,3.8,16396.0,1.2
우울장애유병률,성별×연령대,2.0,50-59,4.6,%,1094.0,3.5,22790.0,1.1
우울장애유병률,성별×연령대,2.0,60-69,3.1,%,1280.0,3.4,28453.0,-0.3
우울장애유병률,성별×연령대,2.0,70+,5.5,%,1198.0,7.3,35011.0,-1.8
우울장애유병률,연령대,,19-29,6.5,%,1256.0,3.8,19509.0,2.7
우울장애유병률,연령대,,30-39,5.8,%,1204.0,4.0,24207.0,1.8
우울장애유병률,연령대,,40-49,4.4,%,1651.0,3.3,31354.0,1.1
우울장애유병률,연령대,,50-59,3.9,%,1858.0,2.9,42607.0,1.0
우울장애유병률,연령대,,60-69,3.0,%,2233.0,3.0,53354.0,0.0
우울장애유병률,연령대,,70+,3.8,%,2115.0,5.8,60259.0,-2.0
우울장애유병률,전체,,,4.6,%,10317.0,3.8,231290.0,0.8
주중평균수면시간,성별,1.0,,6.88,시간,7213.0,6.25,71530.0,0.63
주중평균수면시간,성별,2.0,,6.86,시간,9439.0,6.14,85758.0,0.72
주중평균수면시간,성별×연령대,1.0,19-29,7.12,시간,877.0,6.55,5732.0,0.57
주중평균수면시간,성별×연령대,1.0,30-39,6.77,시간,884.0,6.23,7517.0,0.54
주중평균수면시간,성별×연령대,1.0,40-49,6.74,시간,1152.0,6.12,9922.0,0.62
주중평균수면시간,성별×연령대,1.0,50-59,6.77,시간,1285.0,6.09,13471.0,0.68
주중평균수면시간,성별×연령대,1.0,60-69,6.88,시간,1568.0,6.21,17227.0,0.67
주중평균수면시간,성별×연령대,1.0,70+,7.11,시간,1447.0,6.42,17661.0,0.69
주중평균수면시간,성별×연령대,2.0,19-29,7.11,시간,1038.0,6.55,5979.0,0.56
주중평균수면시간,성별×연령대,2.0,30-39,7.01,시간,1081.0,6.51,7397.0,0.5
주중평균수면시간,성별×연령대,2.0,40-49,6.94,시간,1586.0,6.3,10254.0,0.64
주중평균수면시간,성별×연령대,2.0,50-59,6.77,시간,1824.0,6.01,15483.0,0.76
주중평균수면시간,성별×연령대,2.0,60-69,6.72,시간,2065.0,5.93,20248.0,0.79
주중평균수면시간,성별×연령대,2.0,70+,6.67,시간,1845.0,5.86,26397.0,0.81
주중평균수면시간,연령대,,19-29,7.11,시간,1915.0,6.55,11711.0,0.56
주중평균수면시간,연령대,,30-39,6.88,시간,1965.0,6.36,14914.0,0.52
주중평균수면시간,연령대,,40-49,6.84,시간,2738.0,6.21,20176.0,0.63
주중평균수면시간,연령대,,50-59,6.77,시간,3109.0,6.05,28954.0,0.72
주중평균수면시간,연령대,,60-69,6.8,시간,3633.0,6.06,37475.0,0.74
주중평균수면시간,연령대,,70+,6.85,시간,3292.0,6.1,44058.0,0.75
주중평균수면시간,전체,,,6.87,시간,16652.0,6.2,157288.0,0.67
